"fylkenr_2020";"fylkenavn_2020";"historisk_nummer";"gyldig_år"
"30";"Viken";"01";"2013"
"30";"Viken";"01";"2014"
"30";"Viken";"01";"2015"
"30";"Viken";"01";"2016"
"30";"Viken";"01";"2017"
"30";"Viken";"01";"2018"
"30";"Viken";"01";"2019"
"30";"Viken";"02";"2013"
"30";"Viken";"02";"2014"
"30";"Viken";"02";"2015"
"30";"Viken";"02";"2016"
"30";"Viken";"02";"2017"
"30";"Viken";"02";"2018"
"30";"Viken";"02";"2019"
"03";"Oslo";"03";"2013"
"03";"Oslo";"03";"2014"
"03";"Oslo";"03";"2015"
"03";"Oslo";"03";"2016"
"03";"Oslo";"03";"2017"
"03";"Oslo";"03";"2018"
"03";"Oslo";"03";"2019"
"34";"Innlandet";"04";"2013"
"34";"Innlandet";"04";"2014"
"34";"Innlandet";"04";"2015"
"34";"Innlandet";"04";"2016"
"34";"Innlandet";"04";"2017"
"34";"Innlandet";"04";"2018"
"34";"Innlandet";"04";"2019"
"34";"Innlandet";"05";"2013"
"34";"Innlandet";"05";"2014"
"34";"Innlandet";"05";"2015"
"34";"Innlandet";"05";"2016"
"34";"Innlandet";"05";"2017"
"34";"Innlandet";"05";"2018"
"34";"Innlandet";"05";"2019"
"30";"Viken";"06";"2013"
"30";"Viken";"06";"2014"
"30";"Viken";"06";"2015"
"30";"Viken";"06";"2016"
"30";"Viken";"06";"2017"
"30";"Viken";"06";"2018"
"30";"Viken";"06";"2019"
"38";"Vestfold og Telemark";"07";"2013"
"38";"Vestfold og Telemark";"07";"2014"
"38";"Vestfold og Telemark";"07";"2015"
"38";"Vestfold og Telemark";"07";"2016"
"38";"Vestfold og Telemark";"07";"2017"
"38";"Vestfold og Telemark";"07";"2018"
"38";"Vestfold og Telemark";"07";"2019"
"38";"Vestfold og Telemark";"08";"2013"
"38";"Vestfold og Telemark";"08";"2014"
"38";"Vestfold og Telemark";"08";"2015"
"38";"Vestfold og Telemark";"08";"2016"
"38";"Vestfold og Telemark";"08";"2017"
"38";"Vestfold og Telemark";"08";"2018"
"38";"Vestfold og Telemark";"08";"2019"
"42";"Agder";"09";"2013"
"42";"Agder";"09";"2014"
"42";"Agder";"09";"2015"
"42";"Agder";"09";"2016"
"42";"Agder";"09";"2017"
