Kommunenummer;Samarbeidskommuner;Samarbeidskommunenr
21;#Ingen sammarbeid;
1120;#Ingen sammarbeid;
1130;#Ingen sammarbeid;
1160;#Ingen sammarbeid;
1520;ULSTEIN, HAREID, ØRSTA, VOLDA;1516, 1517, 1520, 1577
1560;TINGVOLL, SUNNDAL, SURNADAL, RINDAL;1560, 1563, 1566, 5061
1820;HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA, TRÆNA;1818, 1820, 1822, 1827, 1835
1840;BEIARN, SALTDAL;1839, 1840
1860;FLAKSTAD, VESTVÅGØY, MOSKENES;1859, 1860, 1874
1870;LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871
0301;#Ingen sammarbeid;
3020;#Ingen sammarbeid;
3030;#Ingen sammarbeid;
3040;FLÅ, NESBYEN, GOL, HEMSEDAL, ÅL, HOL;3039, 3040, 3041, 3042, 3043, 3044
3050;FLESBERG, ROLLAG, NORE OG UVDAL;3050, 3051, 3052
3420;#Ingen sammarbeid;
3430;RØROS, HOLTÅLEN, OS;5025, 5026, 3430
3440;#Ingen sammarbeid;
3450;SØR-AURDAL, ETNEDAL, NORD-AURDAL, ØYSTRE SLIDRE;3449,3450, 3451, 3453
3820;SELJORD, KVITESEID, NISSEDAL, FYRESDAL, TOKKE, VINJE;3820, 3821, 3822, 3823, 3824, 3825
4220;BYGLAND, VALLE, BYKLE;4220, 4221, 4222
4620;ULLENSVANG, EIDFJORD, ULVIK;4618, 4619, 4620
4630;#Ingen sammarbeid;
4640;#Ingen sammarbeid;
4650;#Ingen sammarbeid;
5060;TINGVOLL, SUNNDAL, SURNADAL, RINDAL;1560, 1563, 1566, 5061
5420;SØRREISA, DYRØY;5419, 5420
5430;#Ingen sammarbeid;
5440;BERLEVÅG, BÅTSFJORD;5440, 5443
1101;EIGERSUND, SOKNDAL, LUND;1101, 1111, 1112
1103;#Ingen sammarbeid;
1106;HAUGESUND , UTSIRA;1106, 1151
1108;#Ingen sammarbeid;
1111;EIGERSUND, SOKNDAL, LUND;1101, 1111, 1112
1112;EIGERSUND, SOKNDAL, LUND;1101, 1111, 1112
1114;#Ingen sammarbeid;
1119;#Ingen sammarbeid;
1121;#Ingen sammarbeid;
1122;#Ingen sammarbeid;
1124;#Ingen sammarbeid;
1127;KVITSØY, RANDABERG;1144, 1127
1133;#Ingen sammarbeid;
1134;SULDAL, SAUDA;1134, 1135
1135;SULDAL, SAUDA;1134, 1135
1144;KVITSØY, RANDABERG;1144, 1127
1145;BOKN, KARMØY;1145, 1149
1146;#Ingen sammarbeid;
1149;BOKN, KARMØY;1145, 1149
1151;HAUGESUND , UTSIRA;1106, 1151
1505;KRISTIANSUND, AVERØY, GJEMNES;1505, 1554, 1557
1506;MOLDE, VESTNES, AUKRA;1506, 1535, 1547
1507;ÅLESUND, FJORD;1507, 1578
1511;HERØY (MØRE OG ROMSDAL), VANYLVEN;1515, 1511
1514;#Ingen sammarbeid;
1515;HERØY (MØRE OG ROMSDAL), VANYLVEN;1515, 1511
1516;ULSTEIN, HAREID, ØRSTA, VOLDA;1516, 1517, 1520, 1577
1517;ULSTEIN, HAREID, ØRSTA, VOLDA;1516, 1517, 1520, 1577
1525;#Ingen sammarbeid;
1528;#Ingen sammarbeid;
1531;#Ingen sammarbeid;
1532;#Ingen sammarbeid;
1535;MOLDE, VESTNES, AUKRA;1506, 1535, 1547
1539;#Ingen sammarbeid;
1547;MOLDE, VESTNES, AUKRA;1506, 1535, 1547
1554;KRISTIANSUND, AVERØY, GJEMNES;1505, 1554, 1557
1557;KRISTIANSUND, AVERØY, GJEMNES;1505, 1554, 1557
1563;TINGVOLL, SUNNDAL, SURNADAL, RINDAL;1560, 1563, 1566, 5061
1566;TINGVOLL, SUNNDAL, SURNADAL, RINDAL;1560, 1563, 1566, 5061
1573;#Ingen sammarbeid;
1576;#Ingen sammarbeid;
1577;ULSTEIN, HAREID, ØRSTA, VOLDA;1516, 1517, 1520, 1577
1578;ÅLESUND, FJORD;1507, 1578
1579;#Ingen sammarbeid;
1804;HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY;1837, 1804, 1838, 1848, 1856, 1857
1806;NARVIK, EVENES;1806, 1853
1811;BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD;1811, 1812, 1813, 1815, 1816
1812;BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD;1811, 1812, 1813, 1815, 1816
1813;BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD;1811, 1812, 1813, 1815, 1816
1815;BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD;1811, 1812, 1813, 1815, 1816
1816;BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD;1811, 1812, 1813, 1815, 1816
1818;HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA, TRÆNA;1818, 1820, 1822, 1827, 1835
1822;HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA, TRÆNA;1818, 1820, 1822, 1827, 1835
1824;#Ingen sammarbeid;
1825;#Ingen sammarbeid;
1826;#Ingen sammarbeid;
1827;HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA, TRÆNA;1818, 1820, 1822, 1827, 1835
1828;#Ingen sammarbeid;
1832;#Ingen sammarbeid;
1833;#Ingen sammarbeid;
1834;#Ingen sammarbeid;
1835;HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA, TRÆNA;1818, 1820, 1822, 1827, 1835
1836;#Ingen sammarbeid;
1837;#Ingen sammarbeid;
1838;HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY;1837, 1804, 1838, 1848, 1856, 1857
1839;BEIARN, SALTDAL;1839, 1840
1841;#Ingen sammarbeid;
1845;#Ingen sammarbeid;
1848;HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY;1837, 1804, 1838, 1848, 1856, 1857
1851;LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871
1853;NARVIK, EVENES;1806, 1853
1856;HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY;1837, 1804, 1838, 1848, 1856, 1857
1857;HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY;1837, 1804, 1838, 1848, 1856, 1857
1859;FLAKSTAD, VESTVÅGØY, MOSKENES;1859, 1860, 1874
1865;#Ingen sammarbeid;
1866;LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871
1867;LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871
1868;LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871
1871;LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871
1874;FLAKSTAD, VESTVÅGØY, MOSKENES;1859, 1860, 1874
1875;HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY;1837, 1804, 1838, 1848, 1856, 1857
3001;#Ingen sammarbeid;
3002;#Ingen sammarbeid;
3003;#Ingen sammarbeid;
3004;#Ingen sammarbeid;
3005;#Ingen sammarbeid;
3006;#Ingen sammarbeid;
3007;#Ingen sammarbeid;
3011;#Ingen sammarbeid;
3012;#Ingen sammarbeid;
3013;#Ingen sammarbeid;
3014;#Ingen sammarbeid;
3015;#Ingen sammarbeid;
3016;#Ingen sammarbeid;
3017;#Ingen sammarbeid;
3018;#Ingen sammarbeid;
