"kommunenummer_2020";"kommunenavn_2020";"historisk_nummer"
"3001";"Halden";"0101"
"3002";"Moss";"0104"
"3003";"Sarpsborg";"0105"
"3004";"Fredrikstad";"0106"
"3011";"Hvaler";"0111"
"3012";"Aremark";"0118"
"3013";"Marker";"0119"
"3026";"Aurskog-Høland";"0121"
"3014";"Indre Østfold";"0122"
"3014";"Indre Østfold";"0123"
"3014";"Indre Østfold";"0124"
"3014";"Indre Østfold";"0125"
"3015";"Skiptvet";"0127"
"3016";"Rakkestad";"0128"
"3017";"Råde";"0135"
"3002";"Moss";"0136"
"3018";"Våler (Viken)";"0137"
"3014";"Indre Østfold";"0138"
"3019";"Vestby";"0211"
"3020";"Nordre Follo";"0213"
"3021";"Ås";"0214"
"3022";"Frogn";"0215"
"3023";"Nesodden";"0216"
"3020";"Nordre Follo";"0217"
"3024";"Bærum";"0219"
"3025";"Asker";"0220"
"3026";"Aurskog-Høland";"0221"
"3030";"Lillestrøm";"0226"
"3030";"Lillestrøm";"0227"
"3027";"Rælingen";"0228"
"3028";"Enebakk";"0229"
"3029";"Lørenskog";"0230"
"3030";"Lillestrøm";"0231"
"3031";"Nittedal";"0233"
"3032";"Gjerdrum";"0234"
"3033";"Ullensaker";"0235"
"3034";"Nes";"0236"
"3035";"Eidsvoll";"0237"
"3036";"Nannestad";"0238"
"3037";"Hurdal";"0239"
"0301";"Oslo";"0301"
"3401";"Kongsvinger";"0402"
"3403";"Hamar";"0403"
"3411";"Ringsaker";"0412"
"3412";"Løten";"0415"
"3413";"Stange";"0417"
"3414";"Nord-Odal";"0418"
"3415";"Sør-Odal";"0419"
"3416";"Eidskog";"0420"
"3417";"Grue";"0423"
"3418";"Åsnes";"0425"
"3419";"Våler (Innlandet)";"0426"
"3420";"Elverum";"0427"
"3421";"Trysil";"0428"
"3422";"Åmot";"0429"
"3423";"Stor-Elvdal";"0430"
"3424";"Rendalen";"0432"
"3425";"Engerdal";"0434"
"3426";"Tolga";"0436"
"3427";"Tynset";"0437"
"3428";"Alvdal";"0438"
"3429";"Folldal";"0439"
"3430";"Os";"0441"
"3405";"Lillehammer";"0501"
"3407";"Gjøvik";"0502"
"3431";"Dovre";"0511"
"3432";"Lesja";"0512"
"3433";"Skjåk";"0513"
"3434";"Lom";"0514"
"3435";"Vågå";"0515"
"3436";"Nord-Fron";"0516"
"3437";"Sel";"0517"
"3438";"Sør-Fron";"0519"
"3439";"Ringebu";"0520"
"3440";"Øyer";"0521"
"3441";"Gausdal";"0522"
"3442";"Østre Toten";"0528"
"3443";"Vestre Toten";"0529"
"3053";"Jevnaker";"0532"
"3054";"Lunner";"0533"
"3446";"Gran";"0534"
"3447";"Søndre Land";"0536"
"3448";"Nordre Land";"0538"
"3449";"Sør-Aurdal";"0540"
"3450";"Etnedal";"0541"
"3451";"Nord-Aurdal";"0542"
"3452";"Vestre Slidre";"0543"
"3453";"Øystre Slidre";"0544"
"3454";"Vang";"0545"
"3005";"Drammen";"0602"
"3006";"Kongsberg";"0604"
"3007";"Ringerike";"0605"
"3038";"Hole";"0612"
"3039";"Flå";"0615"
"3040";"Nesbyen";"0616"
"3041";"Gol";"0617"
"3042";"Hemsedal";"0618"
"3043";"Ål";"0619"
"3044";"Hol";"0620"
"3045";"Sigdal";"0621"
"3046";"Krødsherad";"0622"
"3047";"Modum";"0623"
"3048";"Øvre Eiker";"0624"
"3005";"Drammen";"0625"
"3049";"Lier";"0626"
