"kommunenummer_2013";"kommunenavn_2013";"kommunenummer_2017";"kommunenavn_2017";"endringsmerknad_13_17";"kommunenummer_2018";"kommunenavn_2018";"endringsmerknad_17_18";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19";"kommunenummer_2020";"kommunenavn_2020";"endringsmerknad_19_20"
"0101";"Halden";"0101";"Halden";"uendret fra 2013 til 2017";"0101";"Halden";"uendret fra 2017 til 2018";"0101";"Halden";"uendret fra 2018 til 2019";"3001";"Halden";"kun endret nummer fra 2019 til 2020"
"0104";"Moss";"0104";"Moss";"uendret fra 2013 til 2017";"0104";"Moss";"uendret fra 2017 til 2018";"0104";"Moss";"uendret fra 2018 til 2019";"3002";"Moss";"slått sammen fra 2019 til 2020"
"0105";"Sarpsborg";"0105";"Sarpsborg";"uendret fra 2013 til 2017";"0105";"Sarpsborg";"uendret fra 2017 til 2018";"0105";"Sarpsborg";"uendret fra 2018 til 2019";"3003";"Sarpsborg";"kun endret nummer fra 2019 til 2020"
"0106";"Fredrikstad";"0106";"Fredrikstad";"uendret fra 2013 til 2017";"0106";"Fredrikstad";"uendret fra 2017 til 2018";"0106";"Fredrikstad";"uendret fra 2018 til 2019";"3004";"Fredrikstad";"kun endret nummer fra 2019 til 2020"
"0111";"Hvaler";"0111";"Hvaler";"uendret fra 2013 til 2017";"0111";"Hvaler";"uendret fra 2017 til 2018";"0111";"Hvaler";"uendret fra 2018 til 2019";"3011";"Hvaler";"kun endret nummer fra 2019 til 2020"
"0118";"Aremark";"0118";"Aremark";"uendret fra 2013 til 2017";"0118";"Aremark";"uendret fra 2017 til 2018";"0118";"Aremark";"uendret fra 2018 til 2019";"3012";"Aremark";"kun endret nummer fra 2019 til 2020"
"0119";"Marker";"0119";"Marker";"uendret fra 2013 til 2017";"0119";"Marker";"uendret fra 2017 til 2018";"0119";"Marker";"uendret fra 2018 til 2019";"3013";"Marker";"kun endret nummer fra 2019 til 2020"
"0121";"Rømskog";"0121";"Rømskog";"uendret fra 2013 til 2017";"0121";"Rømskog";"uendret fra 2017 til 2018";"0121";"Rømskog";"uendret fra 2018 til 2019";"3026";"Aurskog-Høland";"slått sammen fra 2019 til 2020"
"0122";"Trøgstad";"0122";"Trøgstad";"uendret fra 2013 til 2017";"0122";"Trøgstad";"uendret fra 2017 til 2018";"0122";"Trøgstad";"uendret fra 2018 til 2019";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0123";"Spydeberg";"0123";"Spydeberg";"uendret fra 2013 til 2017";"0123";"Spydeberg";"uendret fra 2017 til 2018";"0123";"Spydeberg";"uendret fra 2018 til 2019";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
"0124";"Askim";"0124";"Askim";"uendret fra 2013 til 2017";"0124";"Askim";"uendret fra 2017 til 2018";"0124";"Askim";"uendret fra 2018 til 2019";"3014";"Indre Østfold";"slått sammen fra 2019 til 2020"
