"kommunenummer_2018";"kommunenavn_2018";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19"
"0101";"Halden";"0101";"Halden";"uendret fra 2018 til 2019"
"0104";"Moss";"0104";"Moss";"uendret fra 2018 til 2019"
"0105";"Sarpsborg";"0105";"Sarpsborg";"uendret fra 2018 til 2019"
"0106";"Fredrikstad";"0106";"Fredrikstad";"uendret fra 2018 til 2019"
"0111";"Hvaler";"0111";"Hvaler";"uendret fra 2018 til 2019"
"0118";"Aremark";"0118";"Aremark";"uendret fra 2018 til 2019"
"0119";"Marker";"0119";"Marker";"uendret fra 2018 til 2019"
"0121";"Rømskog";"0121";"Rømskog";"uendret fra 2018 til 2019"
"0122";"Trøgstad";"0122";"Trøgstad";"uendret fra 2018 til 2019"
"0123";"Spydeberg";"0123";"Spydeberg";"uendret fra 2018 til 2019"
"0124";"Askim";"0124";"Askim";"uendret fra 2018 til 2019"
"0125";"Eidsberg";"0125";"Eidsberg";"uendret fra 2018 til 2019"
"0127";"Skiptvet";"0127";"Skiptvet";"uendret fra 2018 til 2019"
"0128";"Rakkestad";"0128";"Rakkestad";"uendret fra 2018 til 2019"
"0135";"Råde";"0135";"Råde";"uendret fra 2018 til 2019"
"0136";"Rygge";"0136";"Rygge";"uendret fra 2018 til 2019"
"0137";"Våler";"0137";"Våler";"uendret fra 2018 til 2019"
"0138";"Hobøl";"0138";"Hobøl";"uendret fra 2018 til 2019"
"0211";"Vestby";"0211";"Vestby";"uendret fra 2018 til 2019"
"0213";"Ski";"0213";"Ski";"uendret fra 2018 til 2019"
"0214";"Ås";"0214";"Ås";"uendret fra 2018 til 2019"
"0215";"Frogn";"0215";"Frogn";"uendret fra 2018 til 2019"
"0216";"Nesodden";"0216";"Nesodden";"uendret fra 2018 til 2019"
"0217";"Oppegård";"0217";"Oppegård";"uendret fra 2018 til 2019"
"0219";"Bærum";"0219";"Bærum";"uendret fra 2018 til 2019"
"0220";"Asker";"0220";"Asker";"uendret fra 2018 til 2019"
"0221";"Aurskog-Høland";"0221";"Aurskog-Høland";"uendret fra 2018 til 2019"
"0226";"Sørum";"0226";"Sørum";"uendret fra 2018 til 2019"
"0227";"Fet";"0227";"Fet";"uendret fra 2018 til 2019"
"0228";"Rælingen";"0228";"Rælingen";"uendret fra 2018 til 2019"
"0229";"Enebakk";"0229";"Enebakk";"uendret fra 2018 til 2019"
"0230";"Lørenskog";"0230";"Lørenskog";"uendret fra 2018 til 2019"
"0231";"Skedsmo";"0231";"Skedsmo";"uendret fra 2018 til 2019"
"0233";"Nittedal";"0233";"Nittedal";"uendret fra 2018 til 2019"
"0234";"Gjerdrum";"0234";"Gjerdrum";"uendret fra 2018 til 2019"
"0235";"Ullensaker";"0235";"Ullensaker";"uendret fra 2018 til 2019"
"0236";"Nes";"0236";"Nes";"uendret fra 2018 til 2019"
"0237";"Eidsvoll";"0237";"Eidsvoll";"uendret fra 2018 til 2019"
"0238";"Nannestad";"0238";"Nannestad";"uendret fra 2018 til 2019"
"0239";"Hurdal";"0239";"Hurdal";"uendret fra 2018 til 2019"
"0301";"Oslo";"0301";"Oslo";"uendret fra 2018 til 2019"
"0402";"Kongsvinger";"0402";"Kongsvinger";"uendret fra 2018 til 2019"
"0403";"Hamar";"0403";"Hamar";"uendret fra 2018 til 2019"
"0412";"Ringsaker";"0412";"Ringsaker";"uendret fra 2018 til 2019"
"0415";"Løten";"0415";"Løten";"uendret fra 2018 til 2019"
"0417";"Stange";"0417";"Stange";"uendret fra 2018 til 2019"
"0418";"Nord-Odal";"0418";"Nord-Odal";"uendret fra 2018 til 2019"
"0419";"Sør-Odal";"0419";"Sør-Odal";"uendret fra 2018 til 2019"
"0420";"Eidskog";"0420";"Eidskog";"uendret fra 2018 til 2019"
"0423";"Grue";"0423";"Grue";"uendret fra 2018 til 2019"
"0425";"Åsnes";"0425";"Åsnes";"uendret fra 2018 til 2019"
"0426";"Våler";"0426";"Våler";"uendret fra 2018 til 2019"
"0427";"Elverum";"0427";"Elverum";"uendret fra 2018 til 2019"
"0428";"Trysil";"0428";"Trysil";"uendret fra 2018 til 2019"
"0429";"Åmot";"0429";"Åmot";"uendret fra 2018 til 2019"
"0430";"Stor-Elvdal";"0430";"Stor-Elvdal";"uendret fra 2018 til 2019"
"0432";"Rendalen";"0432";"Rendalen";"uendret fra 2018 til 2019"
"0434";"Engerdal";"0434";"Engerdal";"uendret fra 2018 til 2019"
"0436";"Tolga";"0436";"Tolga";"uendret fra 2018 til 2019"
"0437";"Tynset";"0437";"Tynset";"uendret fra 2018 til 2019"
"0438";"Alvdal";"0438";"Alvdal";"uendret fra 2018 til 2019"
"0439";"Folldal";"0439";"Folldal";"uendret fra 2018 til 2019"
"0441";"Os";"0441";"Os";"uendret fra 2018 til 2019"
"0501";"Lillehammer";"0501";"Lillehammer";"uendret fra 2018 til 2019"
"0502";"Gjøvik";"0502";"Gjøvik";"uendret fra 2018 til 2019"
"0511";"Dovre";"0511";"Dovre";"uendret fra 2018 til 2019"
"0512";"Lesja";"0512";"Lesja";"uendret fra 2018 til 2019"
"0513";"Skjåk";"0513";"Skjåk";"uendret fra 2018 til 2019"
"0514";"Lom";"0514";"Lom";"uendret fra 2018 til 2019"
"0515";"Vågå";"0515";"Vågå";"uendret fra 2018 til 2019"
"0516";"Nord-Fron";"0516";"Nord-Fron";"uendret fra 2018 til 2019"
"0517";"Sel";"0517";"Sel";"uendret fra 2018 til 2019"
"0519";"Sør-Fron";"0519";"Sør-Fron";"uendret fra 2018 til 2019"
"0520";"Ringebu";"0520";"Ringebu";"uendret fra 2018 til 2019"
"0521";"Øyer";"0521";"Øyer";"uendret fra 2018 til 2019"
"0522";"Gausdal";"0522";"Gausdal";"uendret fra 2018 til 2019"
"0528";"Østre Toten";"0528";"Østre Toten";"uendret fra 2018 til 2019"
"0529";"Vestre Toten";"0529";"Vestre Toten";"uendret fra 2018 til 2019"
"0532";"Jevnaker";"0532";"Jevnaker";"uendret fra 2018 til 2019"
"0533";"Lunner";"0533";"Lunner";"uendret fra 2018 til 2019"
"0534";"Gran";"0534";"Gran";"uendret fra 2018 til 2019"
"0536";"Søndre Land";"0536";"Søndre Land";"uendret fra 2018 til 2019"
"0538";"Nordre Land";"0538";"Nordre Land";"uendret fra 2018 til 2019"
"0540";"Sør-Aurdal";"0540";"Sør-Aurdal";"uendret fra 2018 til 2019"
"0541";"Etnedal";"0541";"Etnedal";"uendret fra 2018 til 2019"
"0542";"Nord-Aurdal";"0542";"Nord-Aurdal";"uendret fra 2018 til 2019"
"0543";"Vestre Slidre";"0543";"Vestre Slidre";"uendret fra 2018 til 2019"
"0544";"Øystre Slidre";"0544";"Øystre Slidre";"uendret fra 2018 til 2019"
"0545";"Vang";"0545";"Vang";"uendret fra 2018 til 2019"
"0602";"Drammen";"0602";"Drammen";"uendret fra 2018 til 2019"
"0604";"Kongsberg";"0604";"Kongsberg";"uendret fra 2018 til 2019"
"0605";"Ringerike";"0605";"Ringerike";"uendret fra 2018 til 2019"
"0612";"Hole";"0612";"Hole";"uendret fra 2018 til 2019"
"0615";"Flå";"0615";"Flå";"uendret fra 2018 til 2019"
"0616";"Nes";"0616";"Nes";"uendret fra 2018 til 2019"
"0617";"Gol";"0617";"Gol";"uendret fra 2018 til 2019"
"0618";"Hemsedal";"0618";"Hemsedal";"uendret fra 2018 til 2019"
"0619";"Ål";"0619";"Ål";"uendret fra 2018 til 2019"
"0620";"Hol";"0620";"Hol";"uendret fra 2018 til 2019"
"0621";"Sigdal";"0621";"Sigdal";"uendret fra 2018 til 2019"
"0622";"Krødsherad";"0622";"Krødsherad";"uendret fra 2018 til 2019"
"0623";"Modum";"0623";"Modum";"uendret fra 2018 til 2019"
