"kommunenummer_2020";"kommunenavn_2020";"historisk_nummer";"gyldig_år"
"3001";"Halden";"0101";"2013"
"3001";"Halden";"0101";"2014"
"3001";"Halden";"0101";"2015"
"3001";"Halden";"0101";"2016"
"3001";"Halden";"0101";"2017"
"3001";"Halden";"0101";"2018"
"3001";"Halden";"0101";"2019"
"3002";"Moss";"0104";"2013"
"3002";"Moss";"0104";"2014"
"3002";"Moss";"0104";"2015"
"3002";"Moss";"0104";"2016"
"3002";"Moss";"0104";"2017"
"3002";"Moss";"0104";"2018"
"3002";"Moss";"0104";"2019"
"3003";"Sarpsborg";"0105";"2013"
"3003";"Sarpsborg";"0105";"2014"
"3003";"Sarpsborg";"0105";"2015"
"3003";"Sarpsborg";"0105";"2016"
"3003";"Sarpsborg";"0105";"2017"
"3003";"Sarpsborg";"0105";"2018"
"3003";"Sarpsborg";"0105";"2019"
"3004";"Fredrikstad";"0106";"2013"
"3004";"Fredrikstad";"0106";"2014"
"3004";"Fredrikstad";"0106";"2015"
"3004";"Fredrikstad";"0106";"2016"
"3004";"Fredrikstad";"0106";"2017"
"3004";"Fredrikstad";"0106";"2018"
"3004";"Fredrikstad";"0106";"2019"
"3011";"Hvaler";"0111";"2013"
"3011";"Hvaler";"0111";"2014"
"3011";"Hvaler";"0111";"2015"
"3011";"Hvaler";"0111";"2016"
"3011";"Hvaler";"0111";"2017"
"3011";"Hvaler";"0111";"2018"
"3011";"Hvaler";"0111";"2019"
"3012";"Aremark";"0118";"2013"
"3012";"Aremark";"0118";"2014"
"3012";"Aremark";"0118";"2015"
"3012";"Aremark";"0118";"2016"
"3012";"Aremark";"0118";"2017"
"3012";"Aremark";"0118";"2018"
"3012";"Aremark";"0118";"2019"
"3013";"Marker";"0119";"2013"
"3013";"Marker";"0119";"2014"
"3013";"Marker";"0119";"2015"
"3013";"Marker";"0119";"2016"
"3013";"Marker";"0119";"2017"
"3013";"Marker";"0119";"2018"
"3013";"Marker";"0119";"2019"
"3026";"Aurskog-Høland";"0121";"2013"
"3026";"Aurskog-Høland";"0121";"2014"
"3026";"Aurskog-Høland";"0121";"2015"
"3026";"Aurskog-Høland";"0121";"2016"
"3026";"Aurskog-Høland";"0121";"2017"
"3026";"Aurskog-Høland";"0121";"2018"
"3026";"Aurskog-Høland";"0121";"2019"
"3014";"Indre Østfold";"0122";"2013"
"3014";"Indre Østfold";"0122";"2014"
"3014";"Indre Østfold";"0122";"2015"
"3014";"Indre Østfold";"0122";"2016"
"3014";"Indre Østfold";"0122";"2017"
"3014";"Indre Østfold";"0122";"2018"
"3014";"Indre Østfold";"0122";"2019"
"3014";"Indre Østfold";"0123";"2013"
"3014";"Indre Østfold";"0123";"2014"
"3014";"Indre Østfold";"0123";"2015"
"3014";"Indre Østfold";"0123";"2016"
"3014";"Indre Østfold";"0123";"2017"
"3014";"Indre Østfold";"0123";"2018"
"3014";"Indre Østfold";"0123";"2019"
"3014";"Indre Østfold";"0124";"2013"
"3014";"Indre Østfold";"0124";"2014"
"3014";"Indre Østfold";"0124";"2015"
"3014";"Indre Østfold";"0124";"2016"
"3014";"Indre Østfold";"0124";"2017"
"3014";"Indre Østfold";"0124";"2018"
"3014";"Indre Østfold";"0124";"2019"
"3014";"Indre Østfold";"0125";"2013"
"3014";"Indre Østfold";"0125";"2014"
"3014";"Indre Østfold";"0125";"2015"
"3014";"Indre Østfold";"0125";"2016"
"3014";"Indre Østfold";"0125";"2017"
"3014";"Indre Østfold";"0125";"2018"
"3014";"Indre Østfold";"0125";"2019"
"3015";"Skiptvet";"0127";"2013"
"3015";"Skiptvet";"0127";"2014"
"3015";"Skiptvet";"0127";"2015"
"3015";"Skiptvet";"0127";"2016"
"3015";"Skiptvet";"0127";"2017"
"3015";"Skiptvet";"0127";"2018"
"3015";"Skiptvet";"0127";"2019"
"3016";"Rakkestad";"0128";"2013"
"3016";"Rakkestad";"0128";"2014"
"3016";"Rakkestad";"0128";"2015"
"3016";"Rakkestad";"0128";"2016"
"3016";"Rakkestad";"0128";"2017"
"3016";"Rakkestad";"0128";"2018"
"3016";"Rakkestad";"0128";"2019"
"3017";"Råde";"0135";"2013"
"3017";"Råde";"0135";"2014"
"3017";"Råde";"0135";"2015"
"3017";"Råde";"0135";"2016"
"3017";"Råde";"0135";"2017"
"3017";"Råde";"0135";"2018"
"3017";"Råde";"0135";"2019"
"3002";"Moss";"0136";"2013"
"3002";"Moss";"0136";"2014"
"3002";"Moss";"0136";"2015"
"3002";"Moss";"0136";"2016"
"3002";"Moss";"0136";"2017"
"3002";"Moss";"0136";"2018"
"3002";"Moss";"0136";"2019"
"3018";"Våler (Viken)";"0137";"2013"
"3018";"Våler (Viken)";"0137";"2014"
"3018";"Våler (Viken)";"0137";"2015"
"3018";"Våler (Viken)";"0137";"2016"
"3018";"Våler (Viken)";"0137";"2017"
"3018";"Våler (Viken)";"0137";"2018"
"3018";"Våler (Viken)";"0137";"2019"
"3014";"Indre Østfold";"0138";"2013"
"3014";"Indre Østfold";"0138";"2014"
"3014";"Indre Østfold";"0138";"2015"
"3014";"Indre Østfold";"0138";"2016"
"3014";"Indre Østfold";"0138";"2017"
"3014";"Indre Østfold";"0138";"2018"
"3014";"Indre Østfold";"0138";"2019"
"3019";"Vestby";"0211";"2013"
"3019";"Vestby";"0211";"2014"
"3019";"Vestby";"0211";"2015"
"3019";"Vestby";"0211";"2016"
"3019";"Vestby";"0211";"2017"
"3019";"Vestby";"0211";"2018"
"3019";"Vestby";"0211";"2019"
"3020";"Nordre Follo";"0213";"2013"
"3020";"Nordre Follo";"0213";"2014"
"3020";"Nordre Follo";"0213";"2015"
"3020";"Nordre Follo";"0213";"2016"
"3020";"Nordre Follo";"0213";"2017"
"3020";"Nordre Follo";"0213";"2018"
"3020";"Nordre Follo";"0213";"2019"
"3021";"Ås";"0214";"2013"
"3021";"Ås";"0214";"2014"
"3021";"Ås";"0214";"2015"
"3021";"Ås";"0214";"2016"
"3021";"Ås";"0214";"2017"
"3021";"Ås";"0214";"2018"
"3021";"Ås";"0214";"2019"
"3022";"Frogn";"0215";"2013"
"3022";"Frogn";"0215";"2014"
"3022";"Frogn";"0215";"2015"
"3022";"Frogn";"0215";"2016"
"3022";"Frogn";"0215";"2017"
"3022";"Frogn";"0215";"2018"
"3022";"Frogn";"0215";"2019"
"3023";"Nesodden";"0216";"2013"
"3023";"Nesodden";"0216";"2014"
"3023";"Nesodden";"0216";"2015"
"3023";"Nesodden";"0216";"2016"
"3023";"Nesodden";"0216";"2017"
"3023";"Nesodden";"0216";"2018"
"3023";"Nesodden";"0216";"2019"
"3020";"Nordre Follo";"0217";"2013"
"3020";"Nordre Follo";"0217";"2014"
"3020";"Nordre Follo";"0217";"2015"
"3020";"Nordre Follo";"0217";"2016"
"3020";"Nordre Follo";"0217";"2017"
"3020";"Nordre Follo";"0217";"2018"
"3020";"Nordre Follo";"0217";"2019"
"3024";"Bærum";"0219";"2013"
"3024";"Bærum";"0219";"2014"
"3024";"Bærum";"0219";"2015"
"3024";"Bærum";"0219";"2016"
"3024";"Bærum";"0219";"2017"
"3024";"Bærum";"0219";"2018"
"3024";"Bærum";"0219";"2019"
"3025";"Asker";"0220";"2013"
"3025";"Asker";"0220";"2014"
"3025";"Asker";"0220";"2015"
"3025";"Asker";"0220";"2016"
"3025";"Asker";"0220";"2017"
"3025";"Asker";"0220";"2018"
"3025";"Asker";"0220";"2019"
"3026";"Aurskog-Høland";"0221";"2013"
"3026";"Aurskog-Høland";"0221";"2014"
"3026";"Aurskog-Høland";"0221";"2015"
"3026";"Aurskog-Høland";"0221";"2016"
"3026";"Aurskog-Høland";"0221";"2017"
"3026";"Aurskog-Høland";"0221";"2018"
"3026";"Aurskog-Høland";"0221";"2019"
"3030";"Lillestrøm";"0226";"2013"
"3030";"Lillestrøm";"0226";"2014"
"3030";"Lillestrøm";"0226";"2015"
"3030";"Lillestrøm";"0226";"2016"
"3030";"Lillestrøm";"0226";"2017"
"3030";"Lillestrøm";"0226";"2018"
"3030";"Lillestrøm";"0226";"2019"
"3030";"Lillestrøm";"0227";"2013"
"3030";"Lillestrøm";"0227";"2014"
"3030";"Lillestrøm";"0227";"2015"
"3030";"Lillestrøm";"0227";"2016"
"3030";"Lillestrøm";"0227";"2017"
"3030";"Lillestrøm";"0227";"2018"
"3030";"Lillestrøm";"0227";"2019"
"3027";"Rælingen";"0228";"2013"
"3027";"Rælingen";"0228";"2014"
"3027";"Rælingen";"0228";"2015"
"3027";"Rælingen";"0228";"2016"
"3027";"Rælingen";"0228";"2017"
"3027";"Rælingen";"0228";"2018"
"3027";"Rælingen";"0228";"2019"
"3028";"Enebakk";"0229";"2013"
"3028";"Enebakk";"0229";"2014"
"3028";"Enebakk";"0229";"2015"
"3028";"Enebakk";"0229";"2016"
"3028";"Enebakk";"0229";"2017"
"3028";"Enebakk";"0229";"2018"
"3028";"Enebakk";"0229";"2019"
"3029";"Lørenskog";"0230";"2013"
"3029";"Lørenskog";"0230";"2014"
"3029";"Lørenskog";"0230";"2015"
"3029";"Lørenskog";"0230";"2016"
"3029";"Lørenskog";"0230";"2017"
"3029";"Lørenskog";"0230";"2018"
"3029";"Lørenskog";"0230";"2019"
"3030";"Lillestrøm";"0231";"2013"
"3030";"Lillestrøm";"0231";"2014"
"3030";"Lillestrøm";"0231";"2015"
"3030";"Lillestrøm";"0231";"2016"
"3030";"Lillestrøm";"0231";"2017"
"3030";"Lillestrøm";"0231";"2018"
"3030";"Lillestrøm";"0231";"2019"
"3031";"Nittedal";"0233";"2013"
"3031";"Nittedal";"0233";"2014"
"3031";"Nittedal";"0233";"2015"
"3031";"Nittedal";"0233";"2016"
"3031";"Nittedal";"0233";"2017"
"3031";"Nittedal";"0233";"2018"
"3031";"Nittedal";"0233";"2019"
"3032";"Gjerdrum";"0234";"2013"
"3032";"Gjerdrum";"0234";"2014"
"3032";"Gjerdrum";"0234";"2015"
"3032";"Gjerdrum";"0234";"2016"
"3032";"Gjerdrum";"0234";"2017"
"3032";"Gjerdrum";"0234";"2018"
"3032";"Gjerdrum";"0234";"2019"
"3033";"Ullensaker";"0235";"2013"
"3033";"Ullensaker";"0235";"2014"
"3033";"Ullensaker";"0235";"2015"
"3033";"Ullensaker";"0235";"2016"
"3033";"Ullensaker";"0235";"2017"
"3033";"Ullensaker";"0235";"2018"
"3033";"Ullensaker";"0235";"2019"
"3034";"Nes";"0236";"2013"
"3034";"Nes";"0236";"2014"
"3034";"Nes";"0236";"2015"
"3034";"Nes";"0236";"2016"
"3034";"Nes";"0236";"2017"
"3034";"Nes";"0236";"2018"
"3034";"Nes";"0236";"2019"
"3035";"Eidsvoll";"0237";"2013"
"3035";"Eidsvoll";"0237";"2014"
"3035";"Eidsvoll";"0237";"2015"
"3035";"Eidsvoll";"0237";"2016"
"3035";"Eidsvoll";"0237";"2017"
"3035";"Eidsvoll";"0237";"2018"
"3035";"Eidsvoll";"0237";"2019"
"3036";"Nannestad";"0238";"2013"
"3036";"Nannestad";"0238";"2014"
"3036";"Nannestad";"0238";"2015"
"3036";"Nannestad";"0238";"2016"
"3036";"Nannestad";"0238";"2017"
"3036";"Nannestad";"0238";"2018"
"3036";"Nannestad";"0238";"2019"
"3037";"Hurdal";"0239";"2013"
"3037";"Hurdal";"0239";"2014"
"3037";"Hurdal";"0239";"2015"
"3037";"Hurdal";"0239";"2016"
"3037";"Hurdal";"0239";"2017"
"3037";"Hurdal";"0239";"2018"
"3037";"Hurdal";"0239";"2019"
"0301";"Oslo";"0301";"2013"
"0301";"Oslo";"0301";"2014"
"0301";"Oslo";"0301";"2015"
"0301";"Oslo";"0301";"2016"
"0301";"Oslo";"0301";"2017"
"0301";"Oslo";"0301";"2018"
"0301";"Oslo";"0301";"2019"
"0301";"Oslo";"0301";"2020"
"3401";"Kongsvinger";"0402";"2013"
"3401";"Kongsvinger";"0402";"2014"
"3401";"Kongsvinger";"0402";"2015"
"3401";"Kongsvinger";"0402";"2016"
"3401";"Kongsvinger";"0402";"2017"
"3401";"Kongsvinger";"0402";"2018"
"3401";"Kongsvinger";"0402";"2019"
"3403";"Hamar";"0403";"2013"
"3403";"Hamar";"0403";"2014"
"3403";"Hamar";"0403";"2015"
"3403";"Hamar";"0403";"2016"
"3403";"Hamar";"0403";"2017"
"3403";"Hamar";"0403";"2018"
"3403";"Hamar";"0403";"2019"
"3411";"Ringsaker";"0412";"2013"
"3411";"Ringsaker";"0412";"2014"
"3411";"Ringsaker";"0412";"2015"
"3411";"Ringsaker";"0412";"2016"
"3411";"Ringsaker";"0412";"2017"
"3411";"Ringsaker";"0412";"2018"
"3411";"Ringsaker";"0412";"2019"
"3412";"Løten";"0415";"2013"
"3412";"Løten";"0415";"2014"
"3412";"Løten";"0415";"2015"
"3412";"Løten";"0415";"2016"
"3412";"Løten";"0415";"2017"
"3412";"Løten";"0415";"2018"
"3412";"Løten";"0415";"2019"
"3413";"Stange";"0417";"2013"
"3413";"Stange";"0417";"2014"
"3413";"Stange";"0417";"2015"
"3413";"Stange";"0417";"2016"
"3413";"Stange";"0417";"2017"
"3413";"Stange";"0417";"2018"
"3413";"Stange";"0417";"2019"
"3414";"Nord-Odal";"0418";"2013"
"3414";"Nord-Odal";"0418";"2014"
"3414";"Nord-Odal";"0418";"2015"
"3414";"Nord-Odal";"0418";"2016"
"3414";"Nord-Odal";"0418";"2017"
"3414";"Nord-Odal";"0418";"2018"
"3414";"Nord-Odal";"0418";"2019"
"3415";"Sør-Odal";"0419";"2013"
"3415";"Sør-Odal";"0419";"2014"
"3415";"Sør-Odal";"0419";"2015"
"3415";"Sør-Odal";"0419";"2016"
"3415";"Sør-Odal";"0419";"2017"
"3415";"Sør-Odal";"0419";"2018"
"3415";"Sør-Odal";"0419";"2019"
"3416";"Eidskog";"0420";"2013"
"3416";"Eidskog";"0420";"2014"
"3416";"Eidskog";"0420";"2015"
"3416";"Eidskog";"0420";"2016"
"3416";"Eidskog";"0420";"2017"
"3416";"Eidskog";"0420";"2018"
"3416";"Eidskog";"0420";"2019"
"3417";"Grue";"0423";"2013"
"3417";"Grue";"0423";"2014"
"3417";"Grue";"0423";"2015"
"3417";"Grue";"0423";"2016"
"3417";"Grue";"0423";"2017"
"3417";"Grue";"0423";"2018"
"3417";"Grue";"0423";"2019"
"3418";"Åsnes";"0425";"2013"
"3418";"Åsnes";"0425";"2014"
"3418";"Åsnes";"0425";"2015"
"3418";"Åsnes";"0425";"2016"
"3418";"Åsnes";"0425";"2017"
"3418";"Åsnes";"0425";"2018"
"3418";"Åsnes";"0425";"2019"
"3419";"Våler (Innlandet)";"0426";"2013"
"3419";"Våler (Innlandet)";"0426";"2014"
"3419";"Våler (Innlandet)";"0426";"2015"
"3419";"Våler (Innlandet)";"0426";"2016"
"3419";"Våler (Innlandet)";"0426";"2017"
"3419";"Våler (Innlandet)";"0426";"2018"
"3419";"Våler (Innlandet)";"0426";"2019"
"3420";"Elverum";"0427";"2013"
"3420";"Elverum";"0427";"2014"
"3420";"Elverum";"0427";"2015"
"3420";"Elverum";"0427";"2016"
"3420";"Elverum";"0427";"2017"
"3420";"Elverum";"0427";"2018"
"3420";"Elverum";"0427";"2019"
"3421";"Trysil";"0428";"2013"
"3421";"Trysil";"0428";"2014"
"3421";"Trysil";"0428";"2015"
"3421";"Trysil";"0428";"2016"
"3421";"Trysil";"0428";"2017"
"3421";"Trysil";"0428";"2018"
"3421";"Trysil";"0428";"2019"
"3422";"Åmot";"0429";"2013"
"3422";"Åmot";"0429";"2014"
"3422";"Åmot";"0429";"2015"
"3422";"Åmot";"0429";"2016"
"3422";"Åmot";"0429";"2017"
"3422";"Åmot";"0429";"2018"
"3422";"Åmot";"0429";"2019"
"3423";"Stor-Elvdal";"0430";"2013"
"3423";"Stor-Elvdal";"0430";"2014"
"3423";"Stor-Elvdal";"0430";"2015"
"3423";"Stor-Elvdal";"0430";"2016"
"3423";"Stor-Elvdal";"0430";"2017"
"3423";"Stor-Elvdal";"0430";"2018"
"3423";"Stor-Elvdal";"0430";"2019"
"3424";"Rendalen";"0432";"2013"
"3424";"Rendalen";"0432";"2014"
"3424";"Rendalen";"0432";"2015"
"3424";"Rendalen";"0432";"2016"
"3424";"Rendalen";"0432";"2017"
"3424";"Rendalen";"0432";"2018"
"3424";"Rendalen";"0432";"2019"
"3425";"Engerdal";"0434";"2013"
"3425";"Engerdal";"0434";"2014"
"3425";"Engerdal";"0434";"2015"
"3425";"Engerdal";"0434";"2016"
"3425";"Engerdal";"0434";"2017"
"3425";"Engerdal";"0434";"2018"
"3425";"Engerdal";"0434";"2019"
"3426";"Tolga";"0436";"2013"
"3426";"Tolga";"0436";"2014"
"3426";"Tolga";"0436";"2015"
"3426";"Tolga";"0436";"2016"
"3426";"Tolga";"0436";"2017"
"3426";"Tolga";"0436";"2018"
"3426";"Tolga";"0436";"2019"
"3427";"Tynset";"0437";"2013"
"3427";"Tynset";"0437";"2014"
"3427";"Tynset";"0437";"2015"
"3427";"Tynset";"0437";"2016"
"3427";"Tynset";"0437";"2017"
"3427";"Tynset";"0437";"2018"
"3427";"Tynset";"0437";"2019"
"3428";"Alvdal";"0438";"2013"
"3428";"Alvdal";"0438";"2014"
"3428";"Alvdal";"0438";"2015"
"3428";"Alvdal";"0438";"2016"
"3428";"Alvdal";"0438";"2017"
"3428";"Alvdal";"0438";"2018"
"3428";"Alvdal";"0438";"2019"
"3429";"Folldal";"0439";"2013"
"3429";"Folldal";"0439";"2014"
"3429";"Folldal";"0439";"2015"
"3429";"Folldal";"0439";"2016"
"3429";"Folldal";"0439";"2017"
"3429";"Folldal";"0439";"2018"
"3429";"Folldal";"0439";"2019"
"3430";"Os";"0441";"2013"
"3430";"Os";"0441";"2014"
"3430";"Os";"0441";"2015"
"3430";"Os";"0441";"2016"
"3430";"Os";"0441";"2017"
"3430";"Os";"0441";"2018"
"3430";"Os";"0441";"2019"
"3405";"Lillehammer";"0501";"2013"
"3405";"Lillehammer";"0501";"2014"
"3405";"Lillehammer";"0501";"2015"
"3405";"Lillehammer";"0501";"2016"
"3405";"Lillehammer";"0501";"2017"
"3405";"Lillehammer";"0501";"2018"
"3405";"Lillehammer";"0501";"2019"
"3407";"Gjøvik";"0502";"2013"
"3407";"Gjøvik";"0502";"2014"
"3407";"Gjøvik";"0502";"2015"
"3407";"Gjøvik";"0502";"2016"
"3407";"Gjøvik";"0502";"2017"
"3407";"Gjøvik";"0502";"2018"
"3407";"Gjøvik";"0502";"2019"
"3431";"Dovre";"0511";"2013"
"3431";"Dovre";"0511";"2014"
"3431";"Dovre";"0511";"2015"
"3431";"Dovre";"0511";"2016"
"3431";"Dovre";"0511";"2017"
"3431";"Dovre";"0511";"2018"
"3431";"Dovre";"0511";"2019"
"3432";"Lesja";"0512";"2013"
"3432";"Lesja";"0512";"2014"
"3432";"Lesja";"0512";"2015"
"3432";"Lesja";"0512";"2016"
"3432";"Lesja";"0512";"2017"
"3432";"Lesja";"0512";"2018"
"3432";"Lesja";"0512";"2019"
"3433";"Skjåk";"0513";"2013"
"3433";"Skjåk";"0513";"2014"
"3433";"Skjåk";"0513";"2015"
"3433";"Skjåk";"0513";"2016"
"3433";"Skjåk";"0513";"2017"
"3433";"Skjåk";"0513";"2018"
"3433";"Skjåk";"0513";"2019"
"3434";"Lom";"0514";"2013"
"3434";"Lom";"0514";"2014"
"3434";"Lom";"0514";"2015"
"3434";"Lom";"0514";"2016"
"3434";"Lom";"0514";"2017"
"3434";"Lom";"0514";"2018"
"3434";"Lom";"0514";"2019"
"3435";"Vågå";"0515";"2013"
"3435";"Vågå";"0515";"2014"
"3435";"Vågå";"0515";"2015"
"3435";"Vågå";"0515";"2016"
"3435";"Vågå";"0515";"2017"
"3435";"Vågå";"0515";"2018"
"3435";"Vågå";"0515";"2019"
"3436";"Nord-Fron";"0516";"2013"
"3436";"Nord-Fron";"0516";"2014"
"3436";"Nord-Fron";"0516";"2015"
"3436";"Nord-Fron";"0516";"2016"
"3436";"Nord-Fron";"0516";"2017"
"3436";"Nord-Fron";"0516";"2018"
"3436";"Nord-Fron";"0516";"2019"
"3437";"Sel";"0517";"2013"
"3437";"Sel";"0517";"2014"
"3437";"Sel";"0517";"2015"
"3437";"Sel";"0517";"2016"
"3437";"Sel";"0517";"2017"
"3437";"Sel";"0517";"2018"
"3437";"Sel";"0517";"2019"
"3438";"Sør-Fron";"0519";"2013"
"3438";"Sør-Fron";"0519";"2014"
"3438";"Sør-Fron";"0519";"2015"
"3438";"Sør-Fron";"0519";"2016"
"3438";"Sør-Fron";"0519";"2017"
"3438";"Sør-Fron";"0519";"2018"
"3438";"Sør-Fron";"0519";"2019"
"3439";"Ringebu";"0520";"2013"
"3439";"Ringebu";"0520";"2014"
"3439";"Ringebu";"0520";"2015"
"3439";"Ringebu";"0520";"2016"
"3439";"Ringebu";"0520";"2017"
"3439";"Ringebu";"0520";"2018"
"3439";"Ringebu";"0520";"2019"
"3440";"Øyer";"0521";"2013"
"3440";"Øyer";"0521";"2014"
"3440";"Øyer";"0521";"2015"
"3440";"Øyer";"0521";"2016"
"3440";"Øyer";"0521";"2017"
"3440";"Øyer";"0521";"2018"
"3440";"Øyer";"0521";"2019"
"3441";"Gausdal";"0522";"2013"
"3441";"Gausdal";"0522";"2014"
"3441";"Gausdal";"0522";"2015"
"3441";"Gausdal";"0522";"2016"
"3441";"Gausdal";"0522";"2017"
"3441";"Gausdal";"0522";"2018"
"3441";"Gausdal";"0522";"2019"
"3442";"Østre Toten";"0528";"2013"
"3442";"Østre Toten";"0528";"2014"
"3442";"Østre Toten";"0528";"2015"
"3442";"Østre Toten";"0528";"2016"
"3442";"Østre Toten";"0528";"2017"
"3442";"Østre Toten";"0528";"2018"
"3442";"Østre Toten";"0528";"2019"
"3443";"Vestre Toten";"0529";"2013"
"3443";"Vestre Toten";"0529";"2014"
"3443";"Vestre Toten";"0529";"2015"
"3443";"Vestre Toten";"0529";"2016"
"3443";"Vestre Toten";"0529";"2017"
"3443";"Vestre Toten";"0529";"2018"
"3443";"Vestre Toten";"0529";"2019"
"3053";"Jevnaker";"0532";"2013"
"3053";"Jevnaker";"0532";"2014"
"3053";"Jevnaker";"0532";"2015"
"3053";"Jevnaker";"0532";"2016"
"3053";"Jevnaker";"0532";"2017"
"3053";"Jevnaker";"0532";"2018"
"3053";"Jevnaker";"0532";"2019"
"3054";"Lunner";"0533";"2013"
"3054";"Lunner";"0533";"2014"
"3054";"Lunner";"0533";"2015"
"3054";"Lunner";"0533";"2016"
"3054";"Lunner";"0533";"2017"
"3054";"Lunner";"0533";"2018"
"3054";"Lunner";"0533";"2019"
"3446";"Gran";"0534";"2013"
"3446";"Gran";"0534";"2014"
"3446";"Gran";"0534";"2015"
"3446";"Gran";"0534";"2016"
"3446";"Gran";"0534";"2017"
"3446";"Gran";"0534";"2018"
"3446";"Gran";"0534";"2019"
"3447";"Søndre Land";"0536";"2013"
"3447";"Søndre Land";"0536";"2014"
"3447";"Søndre Land";"0536";"2015"
"3447";"Søndre Land";"0536";"2016"
"3447";"Søndre Land";"0536";"2017"
"3447";"Søndre Land";"0536";"2018"
"3447";"Søndre Land";"0536";"2019"
"3448";"Nordre Land";"0538";"2013"
"3448";"Nordre Land";"0538";"2014"
"3448";"Nordre Land";"0538";"2015"
"3448";"Nordre Land";"0538";"2016"
"3448";"Nordre Land";"0538";"2017"
"3448";"Nordre Land";"0538";"2018"
"3448";"Nordre Land";"0538";"2019"
"3449";"Sør-Aurdal";"0540";"2013"
"3449";"Sør-Aurdal";"0540";"2014"
"3449";"Sør-Aurdal";"0540";"2015"
"3449";"Sør-Aurdal";"0540";"2016"
"3449";"Sør-Aurdal";"0540";"2017"
"3449";"Sør-Aurdal";"0540";"2018"
"3449";"Sør-Aurdal";"0540";"2019"
"3450";"Etnedal";"0541";"2013"
"3450";"Etnedal";"0541";"2014"
"3450";"Etnedal";"0541";"2015"
"3450";"Etnedal";"0541";"2016"
"3450";"Etnedal";"0541";"2017"
"3450";"Etnedal";"0541";"2018"
"3450";"Etnedal";"0541";"2019"
"3451";"Nord-Aurdal";"0542";"2013"
"3451";"Nord-Aurdal";"0542";"2014"
"3451";"Nord-Aurdal";"0542";"2015"
"3451";"Nord-Aurdal";"0542";"2016"
"3451";"Nord-Aurdal";"0542";"2017"
"3451";"Nord-Aurdal";"0542";"2018"
"3451";"Nord-Aurdal";"0542";"2019"
"3452";"Vestre Slidre";"0543";"2013"
"3452";"Vestre Slidre";"0543";"2014"
"3452";"Vestre Slidre";"0543";"2015"
"3452";"Vestre Slidre";"0543";"2016"
"3452";"Vestre Slidre";"0543";"2017"
"3452";"Vestre Slidre";"0543";"2018"
"3452";"Vestre Slidre";"0543";"2019"
"3453";"Øystre Slidre";"0544";"2013"
"3453";"Øystre Slidre";"0544";"2014"
"3453";"Øystre Slidre";"0544";"2015"
"3453";"Øystre Slidre";"0544";"2016"
"3453";"Øystre Slidre";"0544";"2017"
"3453";"Øystre Slidre";"0544";"2018"
"3453";"Øystre Slidre";"0544";"2019"
"3454";"Vang";"0545";"2013"
"3454";"Vang";"0545";"2014"
"3454";"Vang";"0545";"2015"
"3454";"Vang";"0545";"2016"
"3454";"Vang";"0545";"2017"
"3454";"Vang";"0545";"2018"
"3454";"Vang";"0545";"2019"
"3005";"Drammen";"0602";"2013"
"3005";"Drammen";"0602";"2014"
"3005";"Drammen";"0602";"2015"
"3005";"Drammen";"0602";"2016"
"3005";"Drammen";"0602";"2017"
"3005";"Drammen";"0602";"2018"
"3005";"Drammen";"0602";"2019"
"3006";"Kongsberg";"0604";"2013"
"3006";"Kongsberg";"0604";"2014"
"3006";"Kongsberg";"0604";"2015"
"3006";"Kongsberg";"0604";"2016"
"3006";"Kongsberg";"0604";"2017"
"3006";"Kongsberg";"0604";"2018"
"3006";"Kongsberg";"0604";"2019"
"3007";"Ringerike";"0605";"2013"
"3007";"Ringerike";"0605";"2014"
"3007";"Ringerike";"0605";"2015"
"3007";"Ringerike";"0605";"2016"
"3007";"Ringerike";"0605";"2017"
"3007";"Ringerike";"0605";"2018"
"3007";"Ringerike";"0605";"2019"
"3038";"Hole";"0612";"2013"
"3038";"Hole";"0612";"2014"
"3038";"Hole";"0612";"2015"
"3038";"Hole";"0612";"2016"
"3038";"Hole";"0612";"2017"
"3038";"Hole";"0612";"2018"
"3038";"Hole";"0612";"2019"
"3039";"Flå";"0615";"2013"
"3039";"Flå";"0615";"2014"
"3039";"Flå";"0615";"2015"
"3039";"Flå";"0615";"2016"
"3039";"Flå";"0615";"2017"
"3039";"Flå";"0615";"2018"
"3039";"Flå";"0615";"2019"
"3040";"Nesbyen";"0616";"2013"
"3040";"Nesbyen";"0616";"2014"
"3040";"Nesbyen";"0616";"2015"
"3040";"Nesbyen";"0616";"2016"
"3040";"Nesbyen";"0616";"2017"
"3040";"Nesbyen";"0616";"2018"
"3040";"Nesbyen";"0616";"2019"
"3041";"Gol";"0617";"2013"
"3041";"Gol";"0617";"2014"
"3041";"Gol";"0617";"2015"
"3041";"Gol";"0617";"2016"
"3041";"Gol";"0617";"2017"
"3041";"Gol";"0617";"2018"
"3041";"Gol";"0617";"2019"
"3042";"Hemsedal";"0618";"2013"
"3042";"Hemsedal";"0618";"2014"
"3042";"Hemsedal";"0618";"2015"
