kommuner_2017;kommuner_2018
0702 - Holmestrand;0715 - Holmestrand
0709 - Larvik;0712 - Larvik
0714 - Hof;0715 - Holmestrand
0722 - Nøtterøy;0729 - Færder
0723 - Tjøme;0729 - Færder
0728 - Lardal;0712 - Larvik
1601 - Trondheim;5001 - Trondheim
1612 - Hemne;5011 - Hemne
1613 - Snillfjord;5012 - Snillfjord
1617 - Hitra;5013 - Hitra
1620 - Frøya;5014 - Frøya
1621 - Ørland;5015 - Ørland
1622 - Agdenes;5016 - Agdenes
1624 - Rissa;5054 - Indre Fosen
1627 - Bjugn;5017 - Bjugn
1630 - Åfjord;5018 - Åfjord
1632 - Roan;5019 - Roan
1633 - Osen;5020 - Osen
1634 - Oppdal;5021 - Oppdal
1635 - Rennebu;5022 - Rennebu
1636 - Meldal;5023 - Meldal
1638 - Orkdal;5024 - Orkdal
1640 - Røros;5025 - Røros
1644 - Holtålen;5026 - Holtålen
1648 - Midtre Gauldal;5027 - Midtre Gauldal
1653 - Melhus;5028 - Melhus
1657 - Skaun;5029 - Skaun
1662 - Klæbu;5030 - Klæbu
1663 - Malvik;5031 - Malvik
1664 - Selbu;5032 - Selbu
1665 - Tydal;5033 - Tydal
1702 - Steinkjer;5004 - Steinkjer
1703 - Namsos;5005 - Namsos
1711 - Meråker;5034 - Meråker
1714 - Stjørdal;5035 - Stjørdal
1717 - Frosta;5036 - Frosta
1718 - Leksvik;5054 - Indre Fosen
1719 - Levanger;5037 - Levanger
1721 - Verdal;5038 - Verdal
1724 - Verran;5039 - Verran
1725 - Namdalseid;5040 - Namdalseid
1736 - Snåase - Snåsa;5041 - Snåase - Snåsa
1738 - Lierne;5042 - Lierne
1739 - Raarvihke - Røyrvik;5043 - Raarvihke - Røyrvik
1740 - Namsskogan;5044 - Namsskogan
1742 - Grong;5045 - Grong
1743 - Høylandet;5046 - Høylandet
1744 - Overhalla;5047 - Overhalla
1748 - Fosnes;5048 - Fosnes
1749 - Flatanger;5049 - Flatanger
1750 - Vikna;5050 - Vikna
1751 - Nærøy;5051 - Nærøy
1755 - Leka;5052 - Leka
1756 - Inderøy;5053 - Inderøy
1852 - Tjeldsund;1852 - Dielddanuorri - Tjeldsund
1870 - Sortland;1870 - Sortland - Suortá
1903 - Harstad;1903 - Harstad - Hárstták
