kommuner_2019;kommuner_2020;splittes
0101 - Halden;3001 - Halden;0
0104 - Moss;3002 - Moss;0
0105 - Sarpsborg;3003 - Sarpsborg;0
0106 - Fredrikstad;3004 - Fredrikstad;0
0111 - Hvaler;3011 - Hvaler;0
0118 - Aremark;3012 - Aremark;0
0119 - Marker;3013 - Marker;0
0121 - Rømskog;3026 - Aurskog-Høland;0
0122 - Trøgstad;3014 - Indre Østfold;0
0123 - Spydeberg;3014 - Indre Østfold;0
0124 - Askim;3014 - Indre Østfold;0
0125 - Eidsberg;3014 - Indre Østfold;0
0127 - Skiptvet;3015 - Skiptvet;0
0128 - Rakkestad;3016 - Rakkestad;0
0135 - Råde;3017 - Råde;0
0136 - Rygge;3002 - Moss;0
0137 - Våler;3018 - Våler (Viken);0
0138 - Hobøl;3014 - Indre Østfold;0
0211 - Vestby;3019 - Vestby;0
0213 - Ski;3020 - Nordre Follo;0
0214 - Ås;3021 - Ås;0
0215 - Frogn;3022 - Frogn;0
0216 - Nesodden;3023 - Nesodden;0
0217 - Oppegård;3020 - Nordre Follo;0
0219 - Bærum;3024 - Bærum;0
0220 - Asker;3025 - Asker;0
0221 - Aurskog-Høland;3026 - Aurskog-Høland;0
0226 - Sørum;3030 - Lillestrøm;0
0227 - Fet;3030 - Lillestrøm;0
0228 - Rælingen;3027 - Rælingen;0
0229 - Enebakk;3028 - Enebakk;0
0230 - Lørenskog;3029 - Lørenskog;0
0231 - Skedsmo;3030 - Lillestrøm;0
0233 - Nittedal;3031 - Nittedal;0
0234 - Gjerdrum;3032 - Gjerdrum;0
0235 - Ullensaker;3033 - Ullensaker;0
0236 - Nes;3034 - Nes;0
0237 - Eidsvoll;3035 - Eidsvoll;0
0238 - Nannestad;3036 - Nannestad;0
0239 - Hurdal;3037 - Hurdal;0
0402 - Kongsvinger;3401 - Kongsvinger;0
0403 - Hamar;3403 - Hamar;0
0412 - Ringsaker;3411 - Ringsaker;0
0415 - Løten;3412 - Løten;0
0417 - Stange;3413 - Stange;0
0418 - Nord-Odal;3414 - Nord-Odal;0
0419 - Sør-Odal;3415 - Sør-Odal;0
0420 - Eidskog;3416 - Eidskog;0
0423 - Grue;3417 - Grue;0
0425 - Åsnes;3418 - Åsnes;0
0426 - Våler;3419 - Våler (Innlandet);0
0427 - Elverum;3420 - Elverum;0
0428 - Trysil;3421 - Trysil;0
0429 - Åmot;3422 - Åmot;0
0430 - Stor-Elvdal;3423 - Stor-Elvdal;0
0432 - Rendalen;3424 - Rendalen;0
0434 - Engerdal;3425 - Engerdal;0
0436 - Tolga;3426 - Tolga;0
0437 - Tynset;3427 - Tynset;0
0438 - Alvdal;3428 - Alvdal;0
0439 - Folldal;3429 - Folldal;0
0441 - Os;3430 - Os;0
0501 - Lillehammer;3405 - Lillehammer;0
0502 - Gjøvik;3407 - Gjøvik;0
0511 - Dovre;3431 - Dovre;0
0512 - Lesja;3432 - Lesja;0
0513 - Skjåk;3433 - Skjåk;0
0514 - Lom;3434 - Lom;0
0515 - Vågå;3435 - Vågå;0
0516 - Nord-Fron;3436 - Nord-Fron;0
0517 - Sel;3437 - Sel;0
0519 - Sør-Fron;3438 - Sør-Fron;0
0520 - Ringebu;3439 - Ringebu;0
0521 - Øyer;3440 - Øyer;0
0522 - Gausdal;3441 - Gausdal;0
0528 - Østre Toten;3442 - Østre Toten;0
0529 - Vestre Toten;3443 - Vestre Toten;0
0532 - Jevnaker;3053 - Jevnaker;0
0533 - Lunner;3054 - Lunner;0
0534 - Gran;3446 - Gran;0
0536 - Søndre Land;3447 - Søndre Land;0
0538 - Nordre Land;3448 - Nordre Land;0
0540 - Sør-Aurdal;3449 - Sør-Aurdal;0
